  id            u            v       length      demanda           CS           CA   oneway     status
 195   1269539418   5116504696   157.394586   104.761837     1.259157     0.472184    False  undefined
 196   5116482152   5116482153    15.127835     0.000000     0.121023     0.045384    False   passagem
 197   5116482152   5116482155    67.128615    44.680806     0.537029     0.201386     True  undefined
 198   5116482153   5116482152    15.127835     0.000000     0.121023     0.045384    False   passagem
 199   5116482153   2477827242    83.656540    55.681793     0.669252     0.250970     True  undefined
 200   5116482154   5116482153    66.329641    44.149009     0.530637     0.198989     True  undefined
 201   5116482154   5116482155    15.234697     0.000000     0.121878     0.045704    False   passagem
 202   5116482155   5116482154    15.234697     0.000000     0.121878     0.045704    False   passagem
 203   5116482155   2477827258    41.326910    27.507192     0.330615     0.123981     True  undefined
 204   5116482156   5116482157    55.640263    37.034159     0.445122     0.166921    False  undefined
 205   5116482156   2591412648   151.195756   100.635895     1.209566     0.453587    False  undefined
 206   5116482156   2591412636   135.106000    89.926553     1.080848     0.405318    False  undefined
 207   5116482157   5116482156    55.640263    37.034159     0.445122     0.166921    False  undefined
 208   5116482158   2591412646     8.642775     5.752631     0.069142     0.025928    False  undefined
 209   5116482158   5116482159   100.148017    66.658520     0.801184     0.300444    False  undefined
 210   5116482158   2477831991    62.017765    41.279025     0.496142     0.186053    False  undefined
 211   5116482159   5116482158   100.148017    66.658520     0.801184     0.300444    False  undefined
 212   5116482160   2591412644    57.383502    38.194459     0.459068     0.172151    False  undefined
 213   5116482160   5116482161    39.990924    26.617959     0.319927     0.119973    False  undefined
 214   5116482160   2477831986     5.689793     3.787126     0.045518     0.017069    False  undefined
 215   5116482161   5116482160    39.990924    26.617959     0.319927     0.119973    False  undefined
 216   5116482162   5116482163    16.953618    11.284328     0.135629     0.050861    False  undefined
 217   5116482162   2477831984    53.406897    35.547631     0.427255     0.160221     True  undefined
 218   5116482163   5116482162    16.953618    11.284328     0.135629     0.050861    False  undefined
 219   5116482163   2477832003   148.264589    98.684910     1.186117     0.444794     True  undefined
 220   5116504696   2477805947    50.248025    33.445085     0.401984     0.150744    False  undefined
 221   5116504696   1269539418   157.394586   104.761837     1.259157     0.472184    False  undefined
 222   5116504696   5116504697    21.737312    14.468355     0.173898     0.065212    False  undefined
 223   5116504697   2477805935   137.850007    91.752965     1.102800     0.413550    False  undefined
 224   5116504697   2477805947    51.105605    34.015890     0.408845     0.153317    False  undefined
 225   5116504697   5116504696    21.737312    14.468355     0.173898     0.065212    False  undefined
 226   4240251684   4240251686   157.706371   104.969360     1.261651     0.473119    False  undefined
 227   4240251686   4240251684   157.706371   104.969360     1.261651     0.473119    False  undefined
 228   4240251686   1269539400   115.569819    76.923272     0.924559     0.346709    False  undefined
 229   4240251686   2477805946   659.553813   438.999018     5.276431     1.978661    False  undefined
 230   2654864287   2661660993    41.089937    27.349462     0.328719     0.123270    False  undefined
 231   2654864287   2654864288    73.318125    48.800544     0.586545     0.219954    False  undefined
 232   2654864287   2477827402    44.060372    29.326583     0.352483     0.132181    False  undefined
 233   2654864288   2661660994    43.198438    28.752881     0.345588     0.129595    False  undefined
 234   2654864288   2654864287    73.318125    48.800544     0.586545     0.219954    False  undefined
 235   2654864288   2654864289    76.386455    50.842825     0.611092     0.229159    False  undefined
 236   2654864288   2477827439    41.283707    27.478435     0.330270     0.123851    False  undefined
 237   2654864289   2477805833    38.015921    25.303397     0.304127     0.114048    False  undefined
