  id   u     v       length       demanda         CS           CA       oneway  status
 245   236   235    60.426608    40.219950     0.483413     0.181280    False  undefined
 246   236   237    29.110832    19.376170     0.232887     0.087332    False  undefined
 247   236   239    54.626494    36.359395     0.437012     0.163879    False  undefined
 248   237   25    26.780880    17.825354     0.214247     0.080343    False  undefined
 249   237   236    29.110832    19.376170     0.232887     0.087332    False  undefined
 250   237   160    44.926231    29.902899     0.359410     0.134779    False  undefined
 251   238   27    48.272403    32.130112     0.386179     0.144817    False  undefined
 252   238   235    56.467991    37.585095     0.451744     0.169404    False  undefined
 253   238   239    43.880611    29.206935     0.351045     0.131642    False  undefined
 254   239   236    54.626494    36.359395     0.437012     0.163879    False  undefined
 255   239   238    43.880611    29.206935     0.351045     0.131642    False  undefined
 256   239   240    29.581643    19.689542     0.236653     0.088745    False  undefined
 257   240   25    28.068797    18.682591     0.224550     0.084206    False  undefined
 258   240   28    44.457463    29.590887     0.355660     0.133372    False  undefined
 259   240   239    29.581643    19.689542     0.236653     0.088745    False  undefined
 260   248   217    39.650633    26.391461     0.317205     0.118952    False  undefined
 261   248   95    21.251546    14.145029     0.170012     0.063755     True  undefined
 262   15   10    18.470737    12.294122     0.147766     0.055412    False  undefined
 263   15   167   227.274869   151.274153     1.818199     0.681825     True  undefined
 264   15   170    76.555832    50.955562     0.612447     0.229667    False  undefined
 265   48   177   229.233234   152.577641     1.833866     0.687700    False  undefined
 266   48   54   136.902381    91.122225     1.095219     0.410707    False  undefined
 267   48   173   173.263791   115.324380     1.386110     0.519791    False  undefined
 268   49   50    26.239473    17.464993     0.209916     0.078718    False  undefined
 269   50   49    26.239473    17.464993     0.209916     0.078718    False  undefined
 270   50   60   116.488509    77.534752     0.931908     0.349466    False  undefined
 271   50   57   166.246482   110.653658     1.329972     0.498739    False  undefined
 272   51   179    41.921062    27.902659     0.335368     0.125763    False  undefined
 273   51   52    99.599822    66.293641     0.796799     0.298799    False  undefined
 274   51   58    74.640963    49.681025     0.597128     0.223923    False  undefined
 275   52   179    83.313293    55.453328     0.666506     0.249940    False  undefined
 276   52   51    99.599822    66.293641     0.796799     0.298799    False  undefined
 277   52   182    95.216735    63.376259     0.761734     0.285650    False  undefined
 278   53   56    55.688108    37.066005     0.445505     0.167064    False  undefined
 279   53   276   108.016488    71.895774     0.864132     0.324049    False  undefined
 280   53   61   159.777726   106.348054     1.278222     0.479333    False  undefined
 281   54   180   155.979088   103.819681     1.247833     0.467937    False  undefined
 282   54   68   142.083027    94.570463     1.136664     0.426249    False  undefined
 283   54   48   136.902381    91.122225     1.095219     0.410707    False  undefined
 284   55   246   159.135913   105.920863     1.273087     0.477408    False  undefined
 285   55   181   112.711430    75.020728     0.901691     0.338134    False  undefined
 286   55   176   165.347475   110.055280     1.322780     0.496042    False  undefined
 287   55   200   226.113637   150.501237     1.808909     0.678341    False  undefined
 288   56   53    55.688108    37.066005     0.445505     0.167064    False  undefined
 289   56   67    93.663126    62.342177     0.749305     0.280989    False  undefined
 290   56   59   100.889959    67.152357     0.807120     0.302670    False  undefined
 291   57   64    74.717261    49.731809     0.597738     0.224152    False  undefined
 292   57   50   166.246482   110.653658     1.329972     0.498739    False  undefined
 293   57   221   149.531702    99.528301     1.196254     0.448595    False  undefined
 294   58   179    58.820986    39.151248     0.470568     0.176463    False  undefined
 295   58   184   142.243631    94.677360     1.137949     0.426731    False  undefined
 296   58   51    74.640963    49.681025     0.597128     0.223923    False  undefined
