  id            u            v           CA      demanda           CS       length   oneway     status
 251          218          207     0.228657    50.731366     0.609752    76.219000    False    servico
 252          218          219     0.024489     5.433293     0.065304     8.163000     True    servico
 253          194          220     0.262908    58.330522     0.701088    87.636000     True     BR-356
 254          194          221     0.042825     0.000000     0.114200    14.275000     True   passagem
 255            5          222     0.081282    18.033766     0.216752    27.094000     True    servico
 256            5          223     0.032868     7.292314     0.087648    10.956000    False    servico
 257          224          211     0.214116    47.505203     0.570976    71.372000     True    servico
 258          214          224     0.099048    21.975450     0.264128    33.016000     True    servico
 259          138          212     0.204948    45.471130     0.546528    68.316000     True    servico
 260          138          225     0.147507    32.726886     0.393352    49.169000    False    servico
 261          191          226     0.019878     4.410266     0.053008     6.626000     True    servico
 262          221          119     0.728658   161.664922     1.943088   242.886000     True     BR-356
 263          221          153     0.197265    43.766528     0.526040    65.755000     True    servico
 264           56          224     0.145119    32.197069     0.386984    48.373000     True    servico
 265           56          210     0.348870    77.402624     0.930320   116.290000    False    servico
 266          227          151     0.026898     5.967770     0.071728     8.966000     True    servico
 267          227          228     0.139806    31.018291     0.372816    46.602000    False    servico
 268          188          144     0.040125     8.902400     0.107000    13.375000     True    servico
 269          188          229     0.067956     0.000000     0.181216    22.652000     True   passagem
 270          230          216     0.220317    48.880998     0.587512    73.439000     True    servico
 271          230          209     0.049977    11.088230     0.133272    16.659000     True    servico
 272          116          100     0.322749    71.607245     0.860664   107.583000     True    servico
 273          116          231     0.130323    28.914330     0.347528    43.441000    False    servico
 274          209          208     0.279939    62.109133     0.746504    93.313000    False    servico
 275          209          172     0.195975    43.480320     0.522600    65.325000     True    servico
 276          205          197     0.258831    57.425971     0.690216    86.277000     True    servico
 277          207          213     0.173814    38.563533     0.463504    57.938000     True    servico
 278          207          215     0.128727    28.560230     0.343272    42.909000    False    servico
 279          207          218     0.228657    50.731366     0.609752    76.219000    False    servico
 280          206          191     0.112662    24.995942     0.300432    37.554000     True    servico
 281          206          190     0.186705    41.423616     0.497880    62.235000     True    servico
 282          228          232     0.190143    42.186394     0.507048    63.381000    False    servico
 283          228          225     0.168702    37.429350     0.449872    56.234000    False    servico
 284          228          227     0.139806    31.018291     0.372816    46.602000    False    servico
 285           75           95     0.214143    47.511194     0.571048    71.381000     True    servico
 286          231            4     0.054480    12.087296     0.145280    18.160000     True    servico
 287          231          116     0.130323    28.914330     0.347528    43.441000    False    servico
 288          231          141     0.265638    58.936218     0.708368    88.546000    False    servico
 289          233          232     0.019758     4.383642     0.052688     6.586000     True    servico
 290          233          234     0.123516     0.000000     0.329376    41.172000     True   passagem
 291          216          213     0.121590    26.976768     0.324240    40.530000     True    servico
 292          219          214     0.192006    42.599731     0.512016    64.002000     True    servico
 293          219          211     0.123324    27.361485     0.328864    41.108000     True    servico
 294          141          223     0.050244    11.147469     0.133984    16.748000    False    servico
 295          141          231     0.265638    58.936218     0.708368    88.546000    False    servico
 296          190          215     0.176379    39.132621     0.470344    58.793000     True    servico
 297          226          117     0.253923    56.337050     0.677128    84.641000     True    servico
 298          226           75     0.242979    53.908941     0.647944    80.993000     True    servico
 299          232          235     0.169596    37.627699     0.452256    56.532000     True    servico
 300          232          228     0.190143    42.186394     0.507048    63.381000    False    servico
 301          236          180     0.330897    73.415014     0.882392   110.299000     True    servico
 302          236          179     0.545772   121.088614     1.455392   181.924000    False    servico
 303          204          237     0.705324   156.487885     1.880864   235.108000     True    servico
 304          204          238     0.348822    77.391974     0.930192   116.274000     True    servico
 305          202          239     0.146811    32.572467     0.391496    48.937000     True    servico
 306          202           67     0.408039    90.530253     1.088104   136.013000     True    servico
 307          202          100     0.378240    83.918848     1.008640   126.080000     True    servico
 308          130          230     0.319125    70.803200     0.851000   106.375000     True    servico
 309          240          241     1.014042   224.982118     2.704112   338.014000     True    servico
 310           60          242     0.211344    46.890189     0.563584    70.448000     True    servico
 311           60          243     0.562824   124.871885     1.500864   187.608000     True    servico
 312          244          245     0.350649    77.797325     0.935064   116.883000     True    servico
 313          244          246     0.292779    64.957901     0.780744    97.593000     True    servico
 314          105          181     0.136692    30.327398     0.364512    45.564000     True    servico
 315          242          247     0.371226    82.362675     0.989936   123.742000     True    servico
 316          242           29     0.459939   102.045133     1.226504   153.313000     True    servico
 317          248          249     0.284652    63.154790     0.759072    94.884000     True    servico
 318          248          168     0.486948   108.037530     1.298528   162.316000     True    servico
 319           64           78     0.187647    41.632614     0.500392    62.549000     True    servico
 320           64           58     0.225909    50.121677     0.602424    75.303000    False    servico
 321          175           28     0.241470    53.574144     0.643920    80.490000     True    servico
 322          175          247     0.471885   104.695552     1.258360   157.295000     True    servico
 323          223            5     0.032868     7.292314     0.087648    10.956000    False    servico
 324          223          141     0.050244    11.147469     0.133984    16.748000    False    servico
 325          223          250     0.393405    87.283456     1.049080   131.135000    False    servico
 326          250          251     0.067566    14.990643     0.180176    22.522000     True    servico
 327          250          223     0.393405    87.283456     1.049080   131.135000    False    servico
 328          156          202     0.129846    28.808499     0.346256    43.282000     True    servico
 329          156          239     0.054264    12.039373     0.144704    18.088000     True    servico
 330          239           66     0.109326    24.255795     0.291536    36.442000     True    servico
 331          229          143     0.213492    47.366758     0.569312    71.164000     True    servico
 332          212          233     0.306525    68.007680     0.817400   102.175000     True    servico
 333          252          253     0.218433    48.463002     0.582488    72.811000    False    servico
 334          139          134     0.171969    38.154189     0.458584    57.323000     True    servico
 335          139           41     0.376731    83.584051     1.004616   125.577000     True    servico
 336          171           62     0.305664    67.816653     0.815104   101.888000     True    servico
 337          171           63     0.443058    98.299802     1.181488   147.686000     True    servico
 338          171          170     0.162282    36.004966     0.432752    54.094000    False    servico
 339          254          186     0.332853    73.848986     0.887608   110.951000     True    servico
 340          254          179     0.502467   111.480678     1.339912   167.489000    False    servico
 341          254          192     0.249891    55.442483     0.666376    83.297000    False    servico
 342          158           77     0.559509   124.136397     1.492024   186.503000     True    servico
 343          243          158     0.378822    84.047974     1.010192   126.274000     True    servico
 344          243          155     0.293259    65.064397     0.782024    97.753000     True    servico
 345          255          256     0.682452   151.413350     1.819872   227.484000    False    servico
 346          255           11     0.683214   151.582413     1.821904   227.738000    False    servico
 347          131          166     0.620433   137.653402     1.654488   206.811000     True    servico
 348          131          123     0.358548    79.549850     0.956128   119.516000     True    servico
 349          257          126     0.444918    98.712474     1.186448   148.306000     True    servico
 350          258          217     0.023070     0.000000     0.061520     7.690000    False   passagem
 351          258          132     0.244818    54.316954     0.652848    81.606000     True    servico
 352          258          110     0.727548   161.418650     1.940128   242.516000     True    servico
 353           38          259     0.366609    81.338317     0.977624   122.203000     True    servico
 354           38           31     0.317829    70.515661     0.847544   105.943000     True    servico
 355           11          255     0.683214   151.582413     1.821904   227.738000    False    servico
 356          256          174     0.465993   103.388314     1.242648   155.331000     True    servico
 357          256          255     0.682452   151.413350     1.819872   227.484000    False    servico
 358          104          260     0.297108    65.918362     0.792288    99.036000     True    servico
 359          104          261     0.497787   110.442342     1.327432   165.929000     True    servico
 360          234          218     0.333882    74.077286     0.890352   111.294000     True    servico
